"grid ID","TRI","n"
"11","1.29815812025038","22436"
"37","1.88049325752848","261208"
"38","2.05405786157815","367144"
"39","2.0891785909857","53472"
"44","2.03823130665223","5696294"
"45","2.15826676843673","1542376"
"46","2.05650918963991","2782068"
"47","2.23244907561772","35615"
"52","2.39869434258162","6793041"
"53","2.09686983565833","3202134"
"54","1.49299862577084","2248033"
"55","0.806677478136512","3617876"
"59","1.48470099295965","7118863"
"60","1.48607156084925","3856956"
"61","1.45310250098828","1384349"
"62","0.615738760711505","3713093"
"66","0.864243661919668","24196501"
"67","1.17536460257627","10383953"
"68","1.34772449147341","6852991"
"69","0.536467766292404","7159902"
"74","1.11969701519756","8295504"
"75","0.855994079455216","9080033"
"76","0.618787944075632","11662368"
"TOTAL","1.18411395262068","120326210"
